     X (m)          Y (m)        Depth (m)
     30.2334       68.1388      -38.3965 
     66.2660       68.1569      -38.2443 
     74.2069       68.2083      -37.8957 
     76.2159       68.2130      -37.6909 
     14.1923       70.1300      -37.8281 
     16.2607       70.1594      -37.8748 
     24.2669       70.1558      -38.3532 
     28.3379       70.1643      -38.5808 
     14.2936       72.1451      -38.0972 
     24.2428       72.0598      -38.5557 
     80.2691       74.0969      -37.4645 
     82.2849       74.1072      -37.2980 
     12.2420       76.1376      -38.6592 
     14.2254       76.1492      -38.6707 
     16.2519       76.1609      -38.6307 
     66.2474       76.0668      -37.7143 
     80.2360       76.1447      -37.5055 
     82.2470       76.2268      -37.3715 
     42.2521       78.0939      -37.9198 
     10.2181       80.1635      -38.8340 
     16.2298       80.1735      -38.6364 
     46.2400       80.0813      -37.8010 
     54.2352       80.0603      -37.4250 
     58.3140       80.1034      -37.4747 
     60.3035       80.1557      -37.4033 
     18.2707       82.1374      -38.4281 
     24.2413       82.1121      -38.1419 
     26.2656       82.0958      -38.0794 
     30.3104       82.1026      -38.0858 
     76.2501       84.1658      -38.0211 
     78.2799       84.1407      -37.9819 
     82.2370       84.1279      -37.9395 
     88.2253       84.0958      -38.0745 
     16.2810       86.1253      -38.3055 
     22.3201       86.2184      -37.9722 
     28.3342       86.1641      -37.7388 
     40.3384       86.1635      -38.5855 
     44.2300       86.1836      -38.5365 
     46.1920       86.1312      -38.4616 
     76.2736       86.1793      -37.8604 
     10.2759       88.1422      -38.2184 
     12.2258       88.1450      -38.1643 
     20.2970       88.1139      -37.8975 
     42.3115       88.1431      -38.4599 
     72.2834       88.1781      -37.6615 
     74.2794       88.1836      -37.6607 
     76.2125       88.1560      -37.6279 
     90.2744       88.1180      -37.7100 
     14.2604       90.1515      -37.8842 
     16.2241       90.1572      -37.7886 
     36.2094       90.0408      -38.3272 
     42.2655       90.1121      -38.2133 
     44.1662       90.0732      -38.1490 
     60.2435       90.1648      -37.7064 
     24.2523       10.1739      -38.6011 
     46.2318       10.0545      -39.2378 
     58.2309       10.2474      -39.2387 
     66.2660       10.1873      -39.2122 
     68.3278       10.2411      -39.1795 
     82.3231       10.1925      -39.3884 
     84.3266       10.2285      -39.3365 
     88.2578       10.2349      -39.2230 
     10.3064       12.1653      -38.5753 
     22.2612       12.1937      -38.9077 
     40.2778       12.0739      -39.1159 
     44.2584       12.0792      -39.2043 
     46.2675       12.0857      -39.2475 
     50.2488       12.1250      -39.2270 
     52.2067       12.1345      -39.2110 
     60.2353       12.0861      -39.2929 
     90.2058       12.0840      -39.2454 
     38.2877       14.0848      -39.0352 
     66.2792       14.1639      -38.9871 
     68.2870       14.1333      -39.0006 
     74.2655       14.1020      -38.9520 
     84.2683       14.1497      -39.1564 
     88.3248       14.1519      -39.1121 
     90.2745       14.1294      -39.1175 
     26.2664       16.2138      -39.1682 
     36.3168       16.1404      -38.9519 
     40.2315       16.1521      -38.9954 
     44.2471       16.1907      -38.9637 
     46.2543       16.0871      -39.0002 
     50.2920       16.0668      -38.9202 
     64.2829       16.1128      -38.8569 
     66.2871       16.1936      -38.8548 
     76.2029       16.1212      -38.9296 
     84.2220       16.1083      -39.0164 
     88.2772       16.1549      -38.9980 
     16.2778       18.1640      -39.2054 
     18.2308       18.0884      -39.1769 
     22.3094       18.0919      -39.1747 
     36.2528       18.1762      -38.8338 
     38.2717       18.2146      -38.8012 
     44.2764       18.1582      -38.8910 
     54.2245       18.1417      -38.8291 
     60.2426       18.1997      -38.7763 
     64.2636       18.1039      -38.7594 
     72.2692       18.1957      -38.5876 
     74.2872       18.1398      -38.7309 
     78.2960       18.1709      -38.7350 
     82.2287       18.1674      -38.7976 
     84.2863       18.0997      -38.8078 
     22.2613       20.1366      -39.0750 
     26.2413       20.1132      -38.8951 
     28.2548       20.1292      -38.9040 
     48.2411       20.0696      -38.6168 
     54.2679       20.1231      -38.5793 
     58.2066       20.1645      -38.6228 
     66.2192       20.1227      -38.5914 
     76.2482       20.1669      -38.4514 
     78.2614       20.1018      -38.5837 
     16.2681       22.0843      -38.9383 
     18.1816       22.2078      -38.8590 
     62.2731       22.1040      -38.2826 
     68.3011       22.0454      -38.3166 
     80.2885       22.1431      -38.2902 
     24.2223       24.0968      -38.7249 
     34.2570       24.2251      -38.2385 
     84.1050       24.2432      -37.8659 
     86.2894       24.2186      -38.0272 
     88.3053       24.1684      -38.1181 
     90.2044       24.0313      -38.1989 
     14.2707       26.0592      -38.5440 
     20.2038       25.9541      -38.5366 
     36.3013       60.1166      -38.1722 
     56.3067       64.1380      -38.1000 
     62.3447       64.1299      -37.8031 
     64.2494       64.0663      -37.6764 
     62.2369       66.1393      -38.1892 
     66.2726       66.1620      -37.9716 
     70.3167       66.1588      -37.7188 
     24.2369       68.1182      -37.9294 
     26.2734       68.1562      -38.2774 
     28.1980       68.1519      -38.3064 
     32.2889       68.1528      -38.5219 
     36.2712       68.1720      -38.7650 
     26.2743       72.1266      -38.5658 
     80.3096       72.1510      -37.4449 
     18.3265       74.1633      -38.5170 
     20.3211       74.1903      -38.5598 
     26.2269       74.1852      -38.6025 
     58.2698       76.1650      -37.7526 
     10.2606       78.1290      -38.7765 
     12.2331       78.1671      -38.7422 
     14.2817       78.1432      -38.7377 
     16.2728       78.1440      -38.6732 
     18.2596       78.1843      -38.5670 
     24.2777       78.2022      -38.4367 
     40.2185       78.0176      -37.9224 
     58.2489       78.1574      -37.6293 
     72.2118       78.0518      -37.5018 
     16.2298       80.1735      -38.6364 
     18.3166       80.2006      -38.5431 
     20.2146       80.1499      -38.5107 
     26.2024       80.1614      -38.2225 
     36.3104       80.1171      -37.8393 
     62.2433       80.1304      -37.4182 
     66.2694       80.0748      -37.3313 
     10.2128       82.1236      -38.7065 
     12.2605       82.1327      -38.7091 
     16.2882       82.1562      -38.5296 
     22.2357       82.1381      -38.2924 
     12.2798       84.1462      -38.5890 
     16.2266       84.1067      -38.4376 
     18.2821       84.1811      -38.3732 
     20.2608       84.1113      -38.2371 
     28.2585       84.1402      -37.9836 
     30.1879       84.1368      -37.9090 
     10.2382       86.1919      -38.4687 
     12.2834       86.1538      -38.3515 
     14.2574       86.2063      -38.2448 
     46.1920       86.1312      -38.4616 
     16.2667       88.1216      -38.0418 
     24.2523       10.1739      -38.6011 
     26.4056       10.1482      -38.7566 
     38.2548       10.0892      -38.8583 
     40.2604       10.1128      -38.9678 
     42.2715       10.1294      -39.1276 
     86.2571       10.0463      -39.2908 
     88.2578       10.2349      -39.2230 
     38.2875       12.0647      -39.0365 
     82.2237       12.1370      -39.3430 
     10.3243       14.1253      -38.6033 
     26.3158       14.1215      -39.2400 
     30.3292       14.1464      -39.1825 
